,movie,year,imdb,metascore,votes,genre,runtime,gross,n_imdb
0,Gladiator,2000,8.5,67,1265139,"['Action', ' Adventure', ' Drama']",155 min,187705427.0,85.0
1,Memento,2000,8.4,80,1065249,"['Mystery', ' Thriller']",113 min,25544867.0,84.0
2,Snatch,2000,8.3,55,744029,"['Comedy', ' Crime']",104 min,30328156.0,83.0
3,Requiem for a Dream,2000,8.3,68,725875,['Drama'],102 min,3635482.0,83.0
4,X-Men,2000,7.4,64,550968,"['Action', ' Adventure', ' Sci-Fi']",104 min,157299717.0,74.0
5,Cast Away,2000,7.8,73,491129,"['Adventure', ' Drama', ' Romance']",143 min,233632142.0,78.0
6,American Psycho,2000,7.6,64,453294,"['Comedy', ' Crime', ' Drama']",101 min,15070285.0,76.0
7,Unbreakable,2000,7.3,62,370098,"['Drama', ' Mystery', ' Sci-Fi']",106 min,95011339.0,73.0
8,Mission: Impossible II,2000,6.1,59,299974,"['Action', ' Adventure', ' Thriller']",123 min,215409889.0,61.0
9,Meet the Parents,2000,7.0,73,299610,"['Comedy', ' Romance']",108 min,166244045.0,70.0
10,"O Brother, Where Art Thou?",2000,7.7,69,272078,"['Adventure', ' Comedy', ' Crime']",107 min,45512588.0,77.0
11,Gone in Sixty Seconds,2000,6.5,35,251829,"['Action', ' Crime', ' Thriller']",118 min,101648571.0,65.0
12,Wo hu cang long,2000,7.8,94,245015,"['Action', ' Adventure', ' Fantasy']",120 min,128078872.0,78.0
13,The Patriot,2000,7.2,63,244214,"['Action', ' Drama', ' History']",165 min,113330342.0,72.0
14,Almost Famous,2000,7.9,90,241109,"['Adventure', ' Comedy', ' Drama']",122 min,32534850.0,79.0
15,Scary Movie,2000,6.2,48,222137,['Comedy'],88 min,157019771.0,62.0
16,Final Destination,2000,6.7,36,218681,"['Horror', ' Thriller']",98 min,53331147.0,67.0
17,Pitch Black,2000,7.1,49,218282,"['Horror', ' Sci-Fi']",109 min,39240659.0,71.0
18,"Me, Myself & Irene",2000,6.6,49,214691,['Comedy'],116 min,90570999.0,66.0
19,The Beach,2000,6.7,43,214336,"['Adventure', ' Drama', ' Romance']",119 min,39785027.0,67.0
20,Amores perros,2000,8.1,83,212810,"['Drama', ' Thriller']",154 min,5383834.0,81.0
21,How the Grinch Stole Christmas,2000,6.1,46,193874,"['Comedy', ' Family', ' Fantasy']",104 min,260044825.0,61.0
22,Traffic,2000,7.6,86,189591,"['Crime', ' Drama', ' Thriller']",147 min,124115725.0,76.0
23,Remember the Titans,2000,7.8,48,189202,"['Biography', ' Drama', ' Sport']",113 min,115654751.0,78.0
24,What Women Want,2000,6.4,47,184827,"['Comedy', ' Fantasy', ' Romance']",127 min,182811707.0,64.0
25,Miss Congeniality,2000,6.2,43,176907,"['Action', ' Comedy', ' Crime']",109 min,106807667.0,62.0
26,Chocolat,2000,7.2,64,171953,"['Drama', ' Romance']",121 min,71509363.0,72.0
27,Chicken Run,2000,7.0,88,169319,"['Animation', ' Adventure', ' Comedy']",84 min,106834564.0,70.0
28,Charlie's Angels,2000,5.5,52,169194,"['Action', ' Adventure', ' Comedy']",98 min,125305545.0,55.0
29,The Emperor's New Groove,2000,7.3,70,168511,"['Animation', ' Adventure', ' Comedy']",78 min,89302687.0,73.0
30,Erin Brockovich,2000,7.3,73,164756,"['Biography', ' Drama']",131 min,125595205.0,73.0
31,Batoru rowaiaru,2000,7.6,81,162742,"['Adventure', ' Drama', ' Sci-Fi']",114 min,,76.0
32,High Fidelity,2000,7.5,79,161727,"['Comedy', ' Drama', ' Music']",113 min,27277055.0,75.0
33,Road Trip,2000,6.4,55,152172,['Comedy'],93 min,68540777.0,64.0
34,The Perfect Storm,2000,6.4,59,150236,"['Action', ' Adventure', ' Drama']",130 min,182618434.0,64.0
35,"Dude, Where's My Car?",2000,5.5,30,130910,"['Comedy', ' Mystery', ' Sci-Fi']",83 min,46729800.0,55.0
36,Billy Elliot,2000,7.7,74,120026,"['Drama', ' Music']",110 min,21995263.0,77.0
37,Scream 3,2000,5.6,56,118257,"['Horror', ' Mystery']",116 min,89138076.0,56.0
38,Hollow Man,2000,5.8,24,117874,"['Action', ' Horror', ' Sci-Fi']",112 min,73209340.0,58.0
39,Shanghai Noon,2000,6.6,77,114937,"['Action', ' Adventure', ' Comedy']",110 min,56937502.0,66.0
40,What Lies Beneath,2000,6.6,51,113431,"['Drama', ' Fantasy', ' Horror']",130 min,155464351.0,66.0
41,The 6th Day,2000,5.9,49,113012,"['Action', ' Mystery', ' Sci-Fi']",123 min,34604280.0,59.0
42,Faa yeung nin wa,2000,8.1,85,112186,"['Drama', ' Romance']",98 min,2734044.0,81.0
43,Pay It Forward,2000,7.2,40,109257,['Drama'],123 min,33519628.0,72.0
44,The Whole Nine Yards,2000,6.7,47,105964,"['Comedy', ' Crime']",98 min,57262492.0,67.0
45,Men of Honor,2000,7.2,56,103264,"['Biography', ' Drama']",129 min,48818921.0,72.0
46,Coyote Ugly,2000,5.7,27,103112,"['Comedy', ' Drama', ' Music']",100 min,60786269.0,57.0
47,The Family Man,2000,6.8,42,99603,"['Comedy', ' Drama', ' Fantasy']",125 min,75793305.0,68.0
48,Frequency,2000,7.3,67,97054,"['Crime', ' Drama', ' Mystery']",118 min,45010278.0,73.0
49,Gladiator,2000,8.5,67,1265139,"['Action', ' Adventure', ' Drama']",155 min,187705427.0,85.0
50,Memento,2000,8.4,80,1065249,"['Mystery', ' Thriller']",113 min,25544867.0,84.0
51,Snatch,2000,8.3,55,744029,"['Comedy', ' Crime']",104 min,30328156.0,83.0
52,Requiem for a Dream,2000,8.3,68,725875,['Drama'],102 min,3635482.0,83.0
53,X-Men,2000,7.4,64,550968,"['Action', ' Adventure', ' Sci-Fi']",104 min,157299717.0,74.0
54,Cast Away,2000,7.8,73,491129,"['Adventure', ' Drama', ' Romance']",143 min,233632142.0,78.0
55,American Psycho,2000,7.6,64,453294,"['Comedy', ' Crime', ' Drama']",101 min,15070285.0,76.0
56,Unbreakable,2000,7.3,62,370098,"['Drama', ' Mystery', ' Sci-Fi']",106 min,95011339.0,73.0
57,Mission: Impossible II,2000,6.1,59,299974,"['Action', ' Adventure', ' Thriller']",123 min,215409889.0,61.0
58,Meet the Parents,2000,7.0,73,299610,"['Comedy', ' Romance']",108 min,166244045.0,70.0
59,"O Brother, Where Art Thou?",2000,7.7,69,272078,"['Adventure', ' Comedy', ' Crime']",107 min,45512588.0,77.0
60,Gone in Sixty Seconds,2000,6.5,35,251829,"['Action', ' Crime', ' Thriller']",118 min,101648571.0,65.0
61,Wo hu cang long,2000,7.8,94,245015,"['Action', ' Adventure', ' Fantasy']",120 min,128078872.0,78.0
62,The Patriot,2000,7.2,63,244214,"['Action', ' Drama', ' History']",165 min,113330342.0,72.0
63,Almost Famous,2000,7.9,90,241109,"['Adventure', ' Comedy', ' Drama']",122 min,32534850.0,79.0
64,Scary Movie,2000,6.2,48,222137,['Comedy'],88 min,157019771.0,62.0
65,Final Destination,2000,6.7,36,218681,"['Horror', ' Thriller']",98 min,53331147.0,67.0
66,Pitch Black,2000,7.1,49,218282,"['Horror', ' Sci-Fi']",109 min,39240659.0,71.0
67,"Me, Myself & Irene",2000,6.6,49,214691,['Comedy'],116 min,90570999.0,66.0
68,The Beach,2000,6.7,43,214336,"['Adventure', ' Drama', ' Romance']",119 min,39785027.0,67.0
69,Amores perros,2000,8.1,83,212810,"['Drama', ' Thriller']",154 min,5383834.0,81.0
70,How the Grinch Stole Christmas,2000,6.1,46,193874,"['Comedy', ' Family', ' Fantasy']",104 min,260044825.0,61.0
71,Traffic,2000,7.6,86,189591,"['Crime', ' Drama', ' Thriller']",147 min,124115725.0,76.0
72,Remember the Titans,2000,7.8,48,189202,"['Biography', ' Drama', ' Sport']",113 min,115654751.0,78.0
73,What Women Want,2000,6.4,47,184827,"['Comedy', ' Fantasy', ' Romance']",127 min,182811707.0,64.0
74,Miss Congeniality,2000,6.2,43,176907,"['Action', ' Comedy', ' Crime']",109 min,106807667.0,62.0
75,Chocolat,2000,7.2,64,171953,"['Drama', ' Romance']",121 min,71509363.0,72.0
76,Chicken Run,2000,7.0,88,169319,"['Animation', ' Adventure', ' Comedy']",84 min,106834564.0,70.0
77,Charlie's Angels,2000,5.5,52,169194,"['Action', ' Adventure', ' Comedy']",98 min,125305545.0,55.0
78,The Emperor's New Groove,2000,7.3,70,168511,"['Animation', ' Adventure', ' Comedy']",78 min,89302687.0,73.0
79,Erin Brockovich,2000,7.3,73,164756,"['Biography', ' Drama']",131 min,125595205.0,73.0
80,Batoru rowaiaru,2000,7.6,81,162742,"['Adventure', ' Drama', ' Sci-Fi']",114 min,,76.0
